Length_Bin,Tweet_Count,Non_Antisemitic_Count,False_Positive_Count,False_Positive_Rate,Model
0-80,625,376,107,0.2845744680851064,IHRA_7B
81-120,958,783,247,0.31545338441890164,IHRA_7B
121-160,1314,1078,410,0.3803339517625232,IHRA_7B
161-200,768,644,231,0.358695652173913,IHRA_7B
201-240,780,634,224,0.35331230283911674,IHRA_7B
241-280,1243,1095,376,0.34337899543378997,IHRA_7B
281-320,1146,1004,374,0.37250996015936255,IHRA_7B
321-400,82,59,24,0.4067796610169492,IHRA_7B
401-600,8,6,3,0.5,IHRA_7B
601+,17,12,4,0.3333333333333333,IHRA_7B
0-80,625,376,235,0.625,IHRA_8B
81-120,958,783,479,0.611749680715198,IHRA_8B
121-160,1314,1078,687,0.637291280148423,IHRA_8B
161-200,768,644,341,0.5295031055900621,IHRA_8B
201-240,780,634,320,0.5047318611987381,IHRA_8B
241-280,1243,1095,512,0.46757990867579907,IHRA_8B
281-320,1146,1004,544,0.5418326693227091,IHRA_8B
321-400,82,59,39,0.6610169491525424,IHRA_8B
401-600,8,6,3,0.5,IHRA_8B
601+,17,12,5,0.4166666666666667,IHRA_8B
0-80,625,376,91,0.24202127659574468,JDA_7B
81-120,958,783,228,0.29118773946360155,JDA_7B
121-160,1314,1078,337,0.31261595547309834,JDA_7B
161-200,768,644,187,0.29037267080745344,JDA_7B
201-240,780,634,196,0.30914826498422715,JDA_7B
241-280,1243,1095,319,0.291324200913242,JDA_7B
281-320,1146,1004,333,0.33167330677290835,JDA_7B
321-400,82,59,28,0.4745762711864407,JDA_7B
401-600,8,6,1,0.16666666666666666,JDA_7B
601+,17,12,2,0.16666666666666666,JDA_7B
0-80,625,376,232,0.6170212765957447,JDA_8B
81-120,958,783,462,0.5900383141762452,JDA_8B
121-160,1314,1078,669,0.6205936920222634,JDA_8B
161-200,768,644,327,0.5077639751552795,JDA_8B
201-240,780,634,315,0.4968454258675079,JDA_8B
241-280,1243,1095,501,0.4575342465753425,JDA_8B
281-320,1146,1004,514,0.5119521912350598,JDA_8B
321-400,82,59,35,0.5932203389830508,JDA_8B
401-600,8,6,4,0.6666666666666666,JDA_8B
601+,17,12,9,0.75,JDA_8B
